i;Ii;Ji;ni
1;0;1;-0.182575361923032E-1
2;0;3;-0.125229548799536
3;0;6;0.592290437320145
4;0;16;0.604769706185122E1
5;0;20;0.238624965444474E3
6;0;22;-0.298639090222922E3
7;1;0;0.512250813040750E-1
8;1;1;-0.437266515606486
9;1;2;0.413336902999504
10;1;3;-0.516468254574773E1
11;1;5;-0.557014838445711E1
12;1;6;0.128555037824478E2
13;1;10;0.114144108953290E2
14;1;16;-0.119504225652714E3
15;1;20;-0.284777985961560E4
16;1;22;0.431757846408006E4
17;2;3;0.112894040802650E1
18;2;16;0.197409186206319E4
19;2;20;0.151612444706087E4
20;3;0;0.141324451421235E-1
21;3;2;0.585501282219601
22;3;3;-0.297258075863012E1
23;3;6;0.594567314847319E1
24;3;16;-0.623656565798905E4
25;4;16;0.965986235133332E4
26;5;3;0.681500934948134E1
27;5;16;-0.633207286824489E4
28;6;3;-0.558919224465760E1
29;7;1;0.400645798472063E-1
