i;Ii;Ji;ni
1;0;0;0.112225607199012
2;0;1;-0.339005953606712E1
3;0;2;-0.320503911730094E2
4;0;3;-0.197597305104900E3
5;0;4;-0.407693861553446E3
6;0;8;0.132943775222331E5
7;1;0;0.170846839774007E1
8;1;2;0.373694198142245E2
9;1;5;0.358144365815434E4
10;1;8;0.423014446424664E6
11;1;14;-0.751071025760063E9
12;2;2;0.523446127607898E2
13;2;3;-0.228351290812417E3
14;2;7;-0.960652417056937E6
15;2;10;-0.807059292526074E8
16;2;18;0.162698017225669E13
17;3;0;0.772465073604171
18;3;5;0.463929973837746E5
19;3;8;-0.137317885134128E8
20;3;16;0.170470392630512E13
21;3;18;-0.251104628187308E14
22;4;18;0.317748830835520E14
23;5;1;0.538685623675312E2
24;5;4;-0.553089094625169E5
25;5;6;-0.102861522421405E7
26;5;14;0.204249418756234E13
27;6;8;0.273918446626977E9
28;6;18;-0.263963146312685E16
29;10;7;-0.107890854108088E10
30;12;7;-0.296492620980124E11
31;16;10;-0.111754907323424E16
