i;Ii;Ji;ni
1;-7;0;-0.32368398555242E13
2;-7;4;0.73263350902181E13
3;-6;0;0.35825089945447E12
4;-6;2;-0.58340131851590E12
5;-5;0;-0.10783068217470E11
6;-5;2;0.20825544563171E11
7;-2;0;0.61074783564516E6
8;-2;1;0.85977722535580E6
9;-1;0;-0.25745723604170E5
10;-1;2;0.31081088422714E5
11;0;0;0.12082315865936E4
12;0;1;0.48219755109255E3
13;1;4;0.37966001272486E1
14;1;8;-0.10842984880077E2
15;2;4;-0.45364172676660E-1
16;6;0;0.14559115658698E-12
17;6;1;0.11261597407230E-11
18;6;4;-0.17804982240686E-10
19;6;10;0.12324579690832E-6
20;6;12;-0.11606921130984E-5
21;6;16;0.27846367088554E-4
22;6;20;-0.59270038474176E-3
23;6;22;0.12918582991878E-2
