i;Ii;Ji;ni
1;-1.5;-24;-0.39235983861984E6
2;-1.5;-23;0.51526573827270E6
3;-1.5;-19;0.40482443161048E5
4;-1.5;-13;-0.32193790923902E3
5;-1.5;-11;0.96961424218694E2
6;-1.5;-10;-0.22867846371773E2
7;-1.25;-19;-0.44942914124357E6
8;-1.25;-15;-0.50118336020166E4
9;-1.25;-6;0.35684463560015
10;-1.0;-26;0.44235335848190E5
11;-1.0;-21;-0.13673388811708E5
12;-1.0;-17;0.42163260207864E6
13;-1.0;-16;0.22516925837475E5
14;-1.0;-9;0.47442144865646E3
15;-1.0;-8;-0.14931130797647E3
16;-0.75;-15;-0.19781126320452E6
17;-0.75;-14;-0.23554399470760E5
18;-0.5;-26;-0.19070616302076E5
19;-0.5;-13;0.55375669883164E5
20;-0.5;-9;0.38293691437363E4
21;-0.5;-7;-0.60391860580567E3
22;-0.25;-27;0.19363102620331E4
23;-0.25;-25;0.42660643698610E4
24;-0.25;-11;-0.59780638872718E4
25;-0.25;-6;-0.70401463926862E3
26;0.25;1;0.33836784107553E3
27;0.25;4;0.20862786635187E2
28;0.25;8;0.33834172656196E-1
29;0.25;11;-0.43124428414893E-4
30;0.5;0;0.16653791356412E3
31;0.5;1;-0.13986292055898E3
32;0.5;5;-0.78849547999872
33;0.5;6;0.72132411753872E-1
34;0.5;10;-0.59754839398283E-2
35;0.5;14;-0.12141358953904E-4
36;0.5;16;0.23227096733871E-6
37;0.75;0;-0.10538463566194E2
38;0.75;4;0.20718925496502E1
39;0.75;9;-0.72193155260427E-1
40;0.75;17;0.20749887081120E-6
41;1;7;-0.18340657911379E-1
42;1;18;0.29036272348696E-6
43;1.25;3;0.21037527893619
44;1.25;15;0.25681239729999E-3
45;1.5;5;-0.12799002933781E-1
46;1.5;18;-0.82198102652018E-5
