i;Ii;Ji;ni
1;-6;0;0.31687665083497E6
2;-6;11;0.20864175881858E2
3;-5;0;-0.39859399803599E6
4;-5;11;-0.21816058518877E2
5;-4;0;0.22369785194242E6
6;-4;1;-0.27841703445817E4
7;-4;11;0.99207436071480E1
8;-3;0;-0.75197512299157E5
9;-3;1;0.29708605951158E4
10;-3;11;-0.34406878548526E1
11;-3;12;0.38815564249115
12;-2;0;0.17511295085750E5
13;-2;1;-0.14237112854449E4
14;-2;6;0.10943803364167E1
15;-2;10;0.89971619308495
16;-1;0;-0.33759740098958E4
17;-1;1;0.47162885818355E3
18;-1;5;-0.19188241993679E1
19;-1;8;0.41078580492196
20;-1;9;-0.33465378172097
21;0;0;0.13870034777505E4
22;0;1;-0.40663326195838E3
23;0;2;0.41727347159610E2
24;0;4;0.21932549434532E1
25;0;5;-0.10320050009077E1
26;0;6;0.35882943516703
27;0;9;0.52511453726066E-2
28;1;0;0.12838916450705E2
29;1;1;-0.28642437219381E1
30;1;2;0.56912683664855
31;1;3;-0.99962954584931E-1
32;1;7;-0.32632037778459E-2
33;1;8;0.23320922576723E-3
34;2;0;-0.15334809857450
35;2;1;0.29072288239902E-1
36;2;5;0.37534702741167E-3
37;3;0;0.17296691702411E-2
38;3;1;-0.38556050844504E-3
39;3;3;-0.35017712292608E-4
40;4;0;-0.14566393631492E-4
41;4;1;0.56420857267269E-5
42;5;0;0.41286150074605E-7
43;5;1;-0.20684671118824E-7
44;5;2;0.16409393674725E-8
