i;Ii;Ji;ni
1;-12;10;0.795544074093975E2
2;-12;12;-0.238261242984590E4
3;-12;14;0.176813100617787E5
4;-10;4;-0.110524727080379E-2
5;-10;8;-0.153213833655326E2
6;-10;10;0.297544599376982E3
7;-10;20;-0.350315206871242E8
8;-8;5;0.277513761062119
9;-8;6;-0.523964271036888
10;-8;14;-0.148011182995403E6
11;-8;16;0.160014899374266E7
12;-6;28;0.170802322663427E13
13;-5;1;0.246866996006494E-3
14;-4;5;0.165326084797980E1
15;-3;2;-0.118008384666987
16;-3;4;0.253798642355900E1
17;-2;3;0.965127704669424
18;-2;8;-0.282172420532826E2
19;-1;1;0.203224612353823
20;-1;2;0.110648186063513E1
21;0;0;0.526127948451280
22;0;1;0.277000018736321
23;0;3;0.108153340501132E1
24;1;0;-0.744127885357893E-1
25;2;0;0.164094443541384E-1
26;4;2;-0.680468275301065E-1
27;5;2;0.257988576101640E-1
28;6;0;-0.145749861944416E-3
