i;Ii;Ji;ni
1;-12;0;0.591599780322238E-4
2;-12;1;-0.185465997137856E-2
3;-12;2;0.104190510480013E-1
4;-12;3;0.598647302038590E-2
5;-12;5;-0.771391189901699
6;-12;6;0.172549765557036E1
7;-10;0;-0.467076079846526E-3
8;-10;1;0.134533823384439E-1
9;-10;2;-0.808094336805495E-1
10;-10;4;0.508139374365767
11;-8;0;0.128584643361683E-2
12;-5;1;-0.163899353915435E1
13;-5;2;0.586938199318063E1
14;-5;3;-0.292466667918613E1
15;-4;0;-0.614076301499537E-2
16;-4;1;0.576199014049172E1
17;-4;2;-0.121613320606788E2
18;-4;3;0.167637540957944E1
19;-3;1;-0.744135838773463E1
20;-2;0;0.378168091437659E-1
21;-2;1;0.401432203027688E1
22;-2;2;0.160279837479185E2
23;-2;3;0.317848779347728E1
24;-2;4;-0.358362310304853E1
25;-2;12;-0.115995260446827E7
26;0;0;0.199256573577909
27;0;1;-0.122270624794624
28;0;2;-0.191449143716586E2
29;1;0;-0.150448002905284E-1
30;1;2;0.146407900162154E2
31;2;2;-0.327477787188230E1
