i;Ii;Ji;ni
1;0;0;-0.23872489924521E3
2;0;1;0.40421188637945E3
3;0;2;0.11349746881718E3
4;0;6;-0.58457616048039E1
5;0;22;-0.15285482413140E-3
6;0;32;-0.10866707695377E-5
7;1;0;-0.13391744872602E2
8;1;1;0.43211039183559E2
9;1;2;-0.54010067170506E2
10;1;3;0.30535892203916E2
11;1;4;-0.65964749423638E1
12;1;10;0.93965400878363E-2
13;1;32;0.11573647505340E-6
14;2;10;-0.25858641282073E-4
15;2;32;-0.40644363084799E-8
16;3;10;0.66456186191635E-7
17;3;32;0.80670734103027E-10
18;4;32;-0.93477771213947E-12
19;5;32;0.58265442020601E-14
20;6;32;-0.15020185953503E-16
