i;Ii;Ji;ni
1;0;0;0.17478268058307E3
2;0;1;0.34806930892873E2
3;0;2;0.65292584978455E1
4;0;3;0.33039981775489
5;0;11;-0.19281382923196E-6
6;0;31;-0.24909197244573E-22
7;1;0;-0.26107636489332
8;1;1;0.22592965981586
9;1;2;-0.64256463395226E-1
10;1;3;0.78876289270526E-2
11;1;12;0.35672110607366E-9
12;1;31;0.17332496994895E-23
13;2;0;0.56608900654837E-3
14;2;1;-0.32635483139717E-3
15;2;2;0.44778286690632E-4
16;2;9;-0.51322156908507E-9
17;2;31;-0.42522657042207E-25
18;3;10;0.26400441360689E-12
19;3;32;0.78124600459723E-28
20;4;32;-0.30732199903668E-30
