i;Ii;Ji;ni
1;0;0;0.801496989929495E-1
2;0;1;-0.543862807146111
3;0;2;0.337455597421283
4;0;4;0.890555451157450E1
5;0;8;0.313840736431485E3
6;1;0;0.797367065977789
7;1;1;-0.121616973556240E1
8;1;2;0.872803386937477E1
9;1;3;-0.169769781757602E2
10;1;5;-0.186552827328416E3
11;1;12;0.951159274344237E5
12;2;1;-0.189168510120494E2
13;2;6;-0.433407037194840E4
14;2;18;0.543212633012715E9
15;3;0;0.144793408386013
16;3;1;0.128024559637516E3
17;3;7;-0.672309534071268E5
18;3;12;0.336972380095287E8
19;4;1;-0.586634196762720E3
20;4;16;-0.221403224769889E11
21;5;1;0.171606668708389E4
22;5;12;-0.570817595806302E9
23;6;1;-0.312109693178482E4
24;6;8;-0.207841384633010E7
25;6;18;0.305605946157786E13
26;7;1;0.322157004314333E4
27;7;16;0.326810259797295E12
28;8;1;-0.144104158934487E4
29;8;3;0.410694867802691E3
30;8;14;0.109077066873024E12
31;8;18;-0.247964654258893E14
32;12;10;0.188801906865134E10
33;14;16;-0.123651009018773E15
