i;Ii;Ji;ni
1;-2;0;0.90968501005365E3
2;-2;1;0.24045667088420E4
3;-1;0;-0.59162326387130E3
4;0;0;0.54145404128074E3
5;0;1;-0.27098308411192E3
6;0;2;0.97976525097926E3
7;0;3;-0.46966772959435E3
8;1;0;0.14399274604723E2
9;1;1;-0.19104204230429E2
10;1;3;0.53299167111971E1
11;1;4;-0.21252975375934E2
12;2;0;-0.31147334413760
13;2;1;0.60334840894623
14;2;2;-0.42764839702509E-1
15;3;0;0.58185597255259E-2
16;3;1;-0.14597008284753E-1
17;3;5;0.56631175631027E-2
18;4;0;-0.76155864584577E-4
19;4;1;0.22440342919332E-3
20;4;4;-0.12561095013413E-4
21;5;0;0.63323132660934E-6
22;5;1;-0.20541989675375E-5
23;5;2;0.36405370390082E-7
24;6;0;-0.29759897789215E-8
25;6;1;0.10136618529763E-7
26;7;0;0.59925719692351E-11
27;7;1;-0.20677870105164E-10
28;7;3;-0.20874278181886E-10
29;7;4;0.10162166825089E-9
30;7;5;-0.16429828281347E-9
